rank,feature_name,roi,roi_annotation_guide,feature_category,feature_type,measurement_method,measurement_unit,confidence_score,predictive_score,prognostic_score,evidence_level,evidence_basis,drug_relevance,pubmed_hits,moa_class,supporting_sources,hypothesis
1,Tumor-Stroma Ratio (TSR),whole_section,Assess the hotspot area with the highest stromal proportion relative to tumor cells; select a representative 1–2 mm² field in the invasive front or core with highest stroma-to-tumor ratio.,composite,prognostic,"In QuPath or manually on H&E, estimate the proportion of stroma (fibrous connective tissue + non-immune cells) vs viable tumor cells in a representative field. TSR = stroma area / (stroma + tumor area). Classify as stroma-low (<50%) vs stroma-high (≥50%).",ratio (0–1) or categorical,100.0,0.0,100.0,A,direct,General H&E prognostic/predictive feature,0,hypoxia,he_tumor_stroma_ratio,
2,Tumor Cell Density,whole_section,,cell_density,prognostic,Count of tumor cells per unit area (cells/mm²) within the annotated tumor region,cells/mm²,93.75,0.0,90.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_tumor_cell_density,
3,Stromal Ratio,whole_section,,cell_density,prognostic,"Fraction of the tumor region occupied by stromal tissue (stroma + endothelial cells) versus tumor cells, expressed as a percentage",%,93.75,0.0,90.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_stromal_ratio,
4,Tumor-Associated Macrophage Density,whole_section,,cell_density,both,Count of macrophage-like cells (large round nuclei with pale cytoplasm) per mm² in intratumoral and peritumoral compartments separately,cells/mm²,93.75,100.0,90.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_macrophage_density,
5,Tumor Necrosis Fraction,whole_section,"Annotate all areas of coagulative necrosis within the tumor mass (pale, eosinophilic regions with ghost cells and no live nuclei); exclude treatment-related necrosis if known.",cell_density,prognostic,Segment the whole tumor area on H&E. Identify necrotic regions as areas with loss of nuclear staining and ghost cell outlines. Report necrosis fraction = necrotic area / total tumor area (0–1).,fraction (0–1),93.75,0.0,90.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_necrosis_fraction,
6,Stromal Vascular Density,stroma,"Annotate the tumor-associated stroma (peritumoral connective tissue). Focus on areas adjacent to viable tumor nests; exclude areas of necrosis, normal tissue, and large vessels (>100 µm diameter).",cell_density,both,"In the annotated stroma, count vessel profiles (cross-sections showing open lumens with endothelial lining and/or red blood cells). Normalize by total stromal area. Optionally score vessel tortuosity (1–3 scale) from straight/normalized (1) to highly tortuous/glomeruloid (3). Report as vessels/mm² and mean tortuosity score.",vessels/mm²; tortuosity score (1–3),93.75,100.0,90.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_stromal_vessel_density,
7,TIL Exclusion Pattern Score,invasive_margin,Annotate the invasive margin: the zone 500 µm inward and outward from the tumor-stroma boundary. The excluded pattern is defined by TILs present in this zone but absent from tumor nests (intratumoral).,spatial_distance,predictive,Calculate the ratio of invasive margin TIL density to intratumoral TIL density. A ratio >5 defines the 'excluded' phenotype. Also compute the mean nearest-neighbor distance from margin TILs to the nearest tumor nest boundary (exclusion gap in µm). Higher gap = stronger exclusion.,margin:intratumoral TIL ratio; exclusion gap (µm),93.75,100.0,0.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_tils_excluded_pattern,
8,Mitotic Index,tumor_nest,Annotate all viable tumor cell nests. Focus scoring on the most mitotically active 'hotspot' areas — select 10 high-power fields (HPF) at 400× in regions of highest proliferative activity within tumor nests.,cell_density,predictive,"Count mitotic figures (cells in any phase of mitosis: prophase, metaphase, anaphase, telophase) in 10 consecutive HPF (0.2 mm² each) within tumor nests. Exclude necrosis and stroma. Report as mitotic figures per 10 HPF (MF/10HPF) or per mm². In QuPath, train a classifier on mitotic figure morphology (condensed/fragmented basophilic chromatin) and apply to annotated tumor ROI.",mitotic figures per 10 HPF or per mm²,93.75,100.0,0.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_mitotic_index,
9,Nuclear Pleomorphism Score,tumor_nest,Score nuclear pleomorphism in the area with the most atypical nuclei within tumor nests. Select 5 HPF at 400× in the most pleomorphic region.,cell_density,predictive,"Score nuclear pleomorphism on the standard Nottingham/Elston-Ellis scale: 1 = nuclei small, uniform (≤1.5× normal lymphocyte); 2 = moderate variation in size/shape; 3 = marked variation, bizarre nuclei, prominent nucleoli. In QuPath, compute nuclear area coefficient of variation (CV), nuclear elongation, and mean nuclear area as objective correlates. Nuclear area CV >0.35 corresponds to grade 3 pleomorphism.",grade 1–3 (Nottingham); nuclear area CV,93.75,100.0,0.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_nuclear_pleomorphism,
10,Immune Score (TIL/TAM Composite),whole_section,,composite,both,"Composite score combining: stromal TIL%, intratumoral TIL density, and the lymphocyte-to-macrophage ratio; computed as (sTIL × 0.4) + (iTIL × 0.4) + (lymph/mac ratio × 0.2)",composite score (0–100),83.33,88.89,80.0,B,direct,General H&E prognostic/predictive feature,0,hypoxia,he_immune_score,
