rank,feature_name,roi,roi_annotation_guide,feature_category,feature_type,measurement_method,measurement_unit,confidence_score,predictive_score,prognostic_score,evidence_level,evidence_basis,drug_relevance,pubmed_hits,moa_class,supporting_sources,hypothesis
1,Stromal TIL Score,whole_section,,til_score,both,Percent of stromal area occupied by mononuclear inflammatory cells (lymphocytes + plasma cells) per TIIC Working Group guidelines,%,100.0,100.0,100.0,A,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_stromal_til,
2,Immunoscore,whole_section,,immune_phenotype,prognostic,Quantify CD3+ and CD8+ cell densities (or lymphocytes as proxy on H&E) at two tumor regions: tumor core and invasive margin. Classify as Immunoscore 0–4 based on density percentiles.,score 0–4,100.0,0.0,100.0,A,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_immunoscore,
3,Intratumoral TIL Density,whole_section,,til_score,both,Count of lymphocytes infiltrating tumor cell nests per unit area (cells/mm²) or as a percent of tumor nests with infiltrating lymphocytes,cells/mm²,83.33,80.0,80.0,B,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_intratumoral_til,
4,Invasive Margin TIL Density,whole_section,,til_score,both,"Density of lymphocytes at the tumor-stroma interface (within 500 µm of the leading edge), reported as cells/mm²",cells/mm²,83.33,80.0,80.0,B,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_invasive_margin_til,
5,Immune Phenotype Classification,whole_section,,immune_phenotype,predictive,"Classify the TME into: Inflamed (TILs throughout tumor parenchyma), Excluded (TILs at margin/stroma only), or Desert (absent TILs). Based on intratumoral vs stromal TIL distribution.",class (inflamed/excluded/desert),83.33,80.0,0.0,B,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_immune_phenotype,
6,Post-ADC ICD TIL Infiltration Pattern,tumor_nest,"Annotate areas within tumor nests showing lymphocyte infiltration adjacent to or within necrotic/apoptotic tumor cell clusters. Focus on intraepithelial compartments — TILs within tumor nests, not just peritumoral stroma.",til_score,predictive,"Quantify intratumoral TILs (within tumor cell nests, not stroma) using TIIC Working Group guidelines adapted for intraepithelial localization. Compute intraepithelial TIL% = lymphocytes within tumor nests / total cells within nests × 100. Also calculate apoptotic index (cells with condensed/fragmented nuclei and cytoplasmic shrinkage) as a proxy for payload-driven immunogenic cell death.",intraepithelial TIL% ; apoptotic index,83.33,80.0,0.0,B,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_icd_til_infiltrate,
7,TIL Hotspot Density,whole_section,,spatial_clustering,both,"Maximum TIL density in a 500×500 µm sliding window across the tumor, identifying hotspot regions of immune aggregation",cells/mm² (hotspot),66.67,64.0,64.0,B,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_tls_hotspot,
8,TIL Exclusion Pattern Score,invasive_margin,Annotate the invasive margin: the zone 500 µm inward and outward from the tumor-stroma boundary. The excluded pattern is defined by TILs present in this zone but absent from tumor nests (intratumoral).,spatial_distance,predictive,Calculate the ratio of invasive margin TIL density to intratumoral TIL density. A ratio >5 defines the 'excluded' phenotype. Also compute the mean nearest-neighbor distance from margin TILs to the nearest tumor nest boundary (exclusion gap in µm). Higher gap = stronger exclusion.,margin:intratumoral TIL ratio; exclusion gap (µm),66.67,64.0,0.0,B,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_tils_excluded_pattern,
9,Tumor-Stroma Ratio (TSR),whole_section,Assess the hotspot area with the highest stromal proportion relative to tumor cells; select a representative 1–2 mm² field in the invasive front or core with highest stroma-to-tumor ratio.,composite,prognostic,"In QuPath or manually on H&E, estimate the proportion of stroma (fibrous connective tissue + non-immune cells) vs viable tumor cells in a representative field. TSR = stroma area / (stroma + tumor area). Classify as stroma-low (<50%) vs stroma-high (≥50%).",ratio (0–1) or categorical,60.0,0.0,60.0,A,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_tumor_stroma_ratio,
10,Lymphocyte-to-Tumor Nearest Neighbor Distance,whole_section,,spatial_distance,predictive,"Median distance (µm) from each lymphocyte centroid to the nearest tumor cell centroid, computed via k-d tree nearest neighbor search",µm,53.33,48.0,0.0,C,direct,Checkpoint inhibitor TME biomarker,0,checkpoint,he_lymph_tumor_nnd,
